feature,coefficient,abs_coefficient
cat__smoker_yes^2,12061.577939271865,12061.577939271865
cat__smoker_yes,12061.577939271843,12061.577939271843
num__bmi cat__smoker_yes,9015.854555049598,9015.854555049598
num__age,2908.024927538007,2908.024927538007
cat__smoker_yes cat__region_northwest,-1808.5585652188,1808.5585652188
num__children,1445.1623344184736,1445.1623344184736
cat__smoker_yes cat__region_southeast,-1362.7591691178707,1362.7591691178707
cat__sex_male cat__region_southeast,1135.4870128606738,1135.4870128606738
cat__sex_male cat__region_northwest,1102.7427753713869,1102.7427753713869
cat__smoker_yes cat__region_southwest,1014.8542181821804,1014.8542181821804
num__age cat__region_southeast,934.7414305257373,934.7414305257373
num__age^2,895.6551475888505,895.6551475888505
num__age cat__region_southwest,791.0646670439459,791.0646670439459
cat__region_southwest,-767.9887026441088,767.9887026441088
cat__region_southwest^2,-767.988702644099,767.988702644099
num__bmi cat__region_southeast,-766.3162706971282,766.3162706971282
cat__sex_male cat__region_southwest,726.4335284238634,726.4335284238634
cat__sex_male,-669.2241897392481,669.2241897392481
cat__sex_male^2,-669.2241897392448,669.2241897392448
num__children cat__region_southwest,-533.8364368086153,533.8364368086153
cat__region_southeast,-478.5726582925775,478.5726582925775
cat__region_southeast^2,-478.5726582925742,478.5726582925742
num__children cat__region_southeast,-432.77264040624243,432.77264040624243
num__age cat__region_northwest,412.13232206654936,412.13232206654936
cat__region_northwest^2,-407.04530519086245,407.04530519086245
cat__region_northwest,-407.04530519085677,407.04530519085677
num__bmi,386.7844303099778,386.7844303099778
num__children cat__smoker_yes,-366.3096256481394,366.3096256481394
num__children cat__sex_male,-259.06175072417824,259.06175072417824
cat__sex_male cat__smoker_yes,-254.72979026708717,254.72979026708717
num__bmi^2,-252.63549487887218,252.63549487887218
num__bmi cat__region_southwest,-185.7028297345564,185.7028297345564
num__age cat__smoker_yes,-168.6323594324406,168.6323594324406
num__children cat__region_northwest,143.91508193096675,143.91508193096675
num__children^2,-129.22229900751915,129.22229900751915
num__age cat__sex_male,127.54694007130304,127.54694007130304
num__age num__children,-124.30134998911244,124.30134998911244
num__bmi num__children,118.42524294432806,118.42524294432806
num__bmi cat__region_northwest,115.76681100993488,115.76681100993488
num__age num__bmi,91.13536534930965,91.13536534930965
num__bmi cat__sex_male,4.943743435003438,4.943743435003438
cat__region_northwest cat__region_southeast,0.0,0.0
cat__region_northwest cat__region_southwest,0.0,0.0
cat__region_southeast cat__region_southwest,0.0,0.0
